iter	Logloss
0	0.6383049539
1	0.593871686
2	0.5547406502
3	0.5197840122
4	0.4866199324
5	0.4609790144
6	0.4384385624
7	0.4186806064
8	0.3992771007
9	0.3832609169
10	0.3681114748
11	0.3541156359
12	0.3419330963
13	0.3311186699
14	0.3207174208
15	0.3091641466
16	0.3003053275
17	0.2916046654
18	0.2840292377
19	0.2771427475
20	0.2704235822
21	0.2637705268
22	0.2579438616
23	0.2528626091
24	0.2474307953
25	0.2429107374
26	0.2382402865
27	0.2353225047
28	0.2324513212
29	0.2289149909
30	0.2258178985
31	0.2214795741
32	0.2173153753
33	0.2147318821
34	0.2128660915
35	0.2090806687
36	0.2053697029
37	0.2032451601
38	0.2016629674
39	0.1992610654
40	0.1951891124
41	0.1930997607
42	0.1908044505
43	0.1891161984
44	0.1877303695
45	0.1860177083
46	0.1846175562
47	0.1827892636
48	0.1803994773
49	0.1790179914
50	0.1770436333
51	0.1754075865
52	0.1744093218
53	0.1730399188
54	0.171673807
55	0.1705458221
56	0.1690661531
57	0.1665036878
58	0.1645614494
59	0.1635395314
60	0.1616333239
61	0.1604013006
62	0.1597105908
63	0.1581571523
64	0.1573328915
65	0.1565045087
66	0.1554698843
67	0.1544432323
68	0.1534791796
69	0.1522214897
70	0.151310841
71	0.150431877
72	0.149583301
73	0.1489021392
74	0.1480546151
75	0.1471628678
76	0.1462470281
77	0.1453807854
78	0.1447728705
79	0.1439660195
80	0.1433357969
81	0.1425665245
82	0.1419641409
83	0.1411235121
84	0.1405545591
85	0.1399400387
86	0.1390167629
87	0.1384589912
88	0.1377908552
89	0.1371450165
90	0.1367212244
91	0.1362632236
92	0.1355387059
93	0.1350345885
94	0.1344749479
95	0.1340880807
96	0.1336640628
97	0.132942578
98	0.1322705467
99	0.1317891219
