iter	Passed	Remaining
0	590	58488
1	1153	56506
2	1721	55652
3	2285	54852
4	2850	54157
5	3406	53367
6	3976	52826
7	4547	52301
8	5112	51690
9	5672	51054
10	6268	50719
11	6831	50096
12	7404	49550
13	7968	48947
14	8529	48333
15	9092	47736
16	9664	47183
17	10226	46588
18	10792	46010
19	11366	45466
20	11944	44933
21	12500	44319
22	13077	43781
23	13641	43196
24	14205	42616
25	14764	42022
26	15325	41435
27	15890	40861
28	16451	40277
29	17020	39714
30	17584	39139
31	18147	38564
32	18711	37990
33	19277	37420
34	19847	36858
35	20408	36282
36	20975	35715
37	21535	35137
38	22102	34570
39	22670	34005
40	23235	33436
41	23800	32866
42	24359	32290
43	24925	31722
44	25490	31155
45	26060	30592
46	26644	30045
47	27248	29518
48	27818	28954
49	28387	28387
50	28962	27827
51	29542	27269
52	30110	26701
53	30677	26132
54	31243	25563
55	31807	24991
56	32372	24421
57	32932	23847
58	33489	23272
59	34054	22703
60	34618	22132
61	35181	21562
62	35742	20991
63	36314	20426
64	36886	19861
65	37449	19292
66	38016	18724
67	38583	18156
68	39152	17590
69	39717	17021
70	40290	16456
71	40860	15890
72	41417	15318
73	41983	14751
74	42553	14184
75	43121	13617
76	43681	13047
77	44252	12481
78	44825	11915
79	45400	11350
80	45971	10783
81	46538	10215
82	47109	9648
83	47675	9081
84	48253	8515
85	48825	7948
86	49388	7379
87	49958	6812
88	50524	6244
89	51094	5677
90	51659	5109
91	52232	4541
92	52812	3975
93	53371	3406
94	53939	2838
95	54503	2270
96	55073	1703
97	55641	1135
98	56205	567
99	56766	0
